"ID","post_title","post_type","guid"
"42122","Création d’une Intersyndicale regroupant les Délégués Syndicaux d’Onet Technologies TI, CN et ND","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62a091e5aaffb.pdf"
"42126","Les officiales n°138","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/les-Officiales-n°138-8-juin-2022-site-doc1_page-0001.jpg"
"42127","Les officiales n°138","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62a096698141f.pdf"
"42132","Stop aux violences sexistes et sexuelles dans la CGT comme ailleurs","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Sexisme_page-0001.jpg"
"42133","Déconstruction des discriminations et des insultes LGBTphobes et sexistes","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Discriminations-et-insultes-lgbtphobes_page-0001.jpg"
"42134","Déconstruction des discriminations et des insultes LGBTphobes et sexistes","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/610/62a0afe59381a.pdf"
"42136","Stop aux violences sexistes et sexuelles dans la CGT comme ailleurs","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/610/62a0afed10553.pdf"
"42154","Liste des acquisition de SOPRA STERIA","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/acquisition_sopra_steria.png"
"42155","SOPRA-STERIA : Communication CGT CSE – Juin 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/COM-CSE-juin-2022-croissance-externe_page-0001.jpg"
"42156","SOPRA-STERIA : Communication CGT – Juin 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/2022-06-CGT-comm-syndicale_page-0001.jpg"
"42157","SOPRA-STERIA : Communication CGT CSE – Juin 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62a1c11286c2b.pdf"
"42158","SOPRA-STERIA : Communication CGT – Juin 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62a1c11582d75.pdf"
"42165","Bandeau d'information Vivinter","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/vivinter_info.png"
"42177","La Lettre du représentant CGT du personnel du Comité Social et Économique du Cabinet LEDOUX N°16 – Mai et juin 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/lalettre-16-csecgtledoux-20220607-mai-et-juin-2022_page-0001.jpg"
"42178","La Lettre du représentant CGT du personnel du Comité Social et Économique du Cabinet LEDOUX N°16 – Mai et juin 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62a2ef9d72a6f.pdf"
"42242","STOP aux Violences Sexistes et Sexuelles au sein de la CGT","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/sStop-Violences-sexistes-et-sexuelles_page-0001.jpg"
"42243","STOP aux Violences Sexistes et Sexuelles au sein de la CGT","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/582/62a83cd7a2dfd.pdf"
"42245","Perspectives n°238","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62a83f91ae460.pdf"
"42247","Perspectives n°238","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/BULLETIN-DINFORMATION-CGT-N238-JUIN-2022-BE-SITE_page-0001.jpg"
"42279","SOCOTEC : Harcèlement","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/2022-socotec-harcelement_page-0001.jpg"
"42280","SOCOTEC : Harcèlement","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62a991f4d0f4a.pdf"
"42284","FRANCE COMPETENCES : Pétitions pour le maintien des titres restaurants","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62a9954fef64f.pdf"
"42285","FRANCE COMPETENCES : Pétitions pour le maintien des titres restaurants","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/20220614_Petition_FC_page-0001.jpg"
"42295","Auto’Mag n°132","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/auto_mag_132-site_page-0001.jpg"
"42296","Perspectives n°239","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/BULLETIN-DINFORMATION-CGT-N239-JUIN-2022-BE-site_page-0001.jpg"
"42297","Perspectives n°239","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62a9e6b227e3b.pdf"
"42298","Auto’Mag n°132","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62a9e6b5632bf.pdf"
"42321","L'aide aux aidants : Propositions CGT","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Laide-aux-aidants_page-0001.jpg"
"42322","L&#39;aide aux aidants : Propositions CGT","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/610/62aae3fddfe82.pdf"
"42329","Astek rattrapé par la loi","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/communication-syndicale-CGT-debut-2022_page-0001.jpg"
"42330","Astek rattrapé par la loi","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62ab01cba6c2c.pdf"
"42344","Le lien syndical n°530 – Juin 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/530-Lien-Juin-2022-SITE_page-0001.jpg"
